Brand_Name,Policy_Name,Cashless_Hospitals,Coverage_Amount,Monthly_Premium,Annual_Premium,Claim_Settlement_Ratio
Star Health,Smart Health Pro,16,₹10 Lac,₹761/month,"₹9,137 / Year",85.80 % claim settlement ratio
Niva Bupa,Reassure 2.0 Platinum+ (Direct),16,₹10 Lac,"₹1,072/month","₹12,868 / Year",92 % claim settlement ratio
Niva Bupa,Reassure 2.0 Titanium+ (Direct),16,₹10 Lac,"₹1,101/month","₹13,213 / Year",92 % claim settlement ratio
Niva Bupa,Reassure 2.0 Bronze+(Direct),16,₹10 Lac,₹984/month,"₹11,810 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Gold + (Direct),16,₹10 Lac,₹746/month,"₹8,950 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Diamond + (Direct),16,₹10 Lac,₹847/month,"₹10,169 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Platinum + (Direct),16,₹10 Lac,₹964/month,"₹11,562 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Titanium + (Direct),16,₹10 Lac,₹969/month,"₹11,632 / Year",92 % claim settlement ratio
Niva Bupa,Health Companion,16,₹10 Lac,"₹1,000/month","₹11,999 / Year",92 % claim settlement ratio
Niva Bupa,Health Companion + Safeguard,16,₹10 Lac,"₹1,365/month","₹16,383 / Year",92 % claim settlement ratio
Niva Bupa,Health Premia Gold,16,₹10 Lac,"₹1,840/month","₹22,081 / Year",92 % claim settlement ratio
Niva Bupa,Health Pulse,16,₹10 Lac,₹732/month,"₹8,778 / Year",92 % claim settlement ratio
Aditya Birla,Activ One Max,14,₹10 Lac,₹773/month,"₹9,281 / Year",96 % claim settlement ratio
Aditya Birla,Active Health Platinum - Enhanced,14,₹10 Lac,₹880/month,"₹10,557 / Year",96 % claim settlement ratio
Aditya Birla,Active Health Platinum Essential - Waiver of mandatory co-payment,14,₹10 Lac,₹855/month,"₹10,259 / Year",96 % claim settlement ratio
ICICI Lombard,Elevate + BeFit,12,₹10 Lac,₹845/month,"₹10,142 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With Befit,12,₹10 Lac,"₹1,089/month","₹13,071 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim Protector and Befit,12,₹10 Lac,"₹1,123/month","₹13,479 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim + SI Protector + Befit,12,₹10 Lac,"₹1,154/month","₹13,850 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With SI Protector and Befit,12,₹10 Lac,"₹1,120/month","₹13,442 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Maternity ( New born + Vaccination ) + SI Protector + Befit,12,₹10 Lac,"₹1,577/month","₹18,920 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Maternity ( New born + Vaccination ) + Claim Protector + SI Protector + Befit,12,₹10 Lac,"₹1,611/month","₹19,328 / Year",99.80 % claim settlement ratio
Reliance,Health Gain Power,15,₹10 Lac,₹756/month,"₹9,071 / Year",99.90 % claim settlement ratio
Reliance,Health Infinity With More Time,15,₹10 Lac,₹766/month,"₹9,196 / Year",99.90 % claim settlement ratio
Reliance,Health Infinity With More Global,15,₹10 Lac,₹766/month,"₹9,196 / Year",99.90 % claim settlement ratio
Reliance,Health Infinity With More Cover,15,₹10 Lac,₹766/month,"₹9,196 / Year",99.90 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,₹50 Lac,"₹1,859/month","₹22,307 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,₹50 Lac,"₹1,161/month","₹13,930 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,₹50 Lac,"₹1,177/month","₹14,124 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,₹50 Lac,"₹1,156/month","₹13,866 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,₹50 Lac,"₹1,843/month","₹22,114 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,₹50 Lac,"₹1,837/month","₹22,049 / Year",93.4 % claim settlement ratio
Cholamandalam MS,Flexi Health Supreme Plus,16,₹10 Lac,"₹1,112/month","₹13,342 / Year",94 % claim settlement ratio
Cholamandalam MS,Flexi Health Individual,16,₹10 Lac,"₹1,102/month","₹13,224 / Year",94 % claim settlement ratio
Kotak Mahindra,Kotak Health Premier – Total,16,₹10 Lac,₹918/month,"₹11,010 / Year",97 % claim settlement ratio
Kotak Mahindra,Kotak Health Premier – Edge,16,₹10 Lac,"₹1,023/month","₹12,274 / Year",97 % claim settlement ratio
Kotak Mahindra,Kotak Health Premier – Elite,16,₹10 Lac,"₹1,157/month","₹13,880 / Year",97 % claim settlement ratio
New India Assurance,New India Mediclaim 2012,16,₹10 Lac,"₹1,265/month","₹15,177 / Year",98 % claim settlement ratio
Royal Sundaram,Lifeline Supreme,15,₹10 Lac,"₹1,043/month","₹12,510 / Year",92 % claim settlement ratio
Zuno,Zuno Gold + Health 241,10,₹10 Lac,"₹1,549/month","₹18,584 / Year",95 % claim settlement ratio
Universal Sompo,A Plus Silver,20,₹10 Lac,"₹1,028/month","₹12,331 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold,20,₹10 Lac,"₹1,078/month","₹12,933 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond,20,₹10 Lac,"₹1,265/month","₹15,175 / Year",96 % claim settlement ratio
Universal Sompo,Complete HealthCare Insurance - Privilege,20,₹10 Lac,"₹1,362/month","₹16,343 / Year",96 % claim settlement ratio
Universal Sompo,Complete HealthCare Insurance - Plus,20,₹15 Lac,"₹1,553/month","₹18,632 / Year",96 % claim settlement ratio
Universal Sompo,Complete HealthCare Insurance - Digi-Pro,20,₹10 Lac,"₹1,222/month","₹14,667 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Silver + Non medical items,20,₹10 Lac,"₹1,075/month","₹12,897 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold + Non medical items,20,₹10 Lac,"₹1,125/month","₹13,499 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond + Non medical items,20,₹10 Lac,"₹1,312/month","₹15,741 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Silver + PED waiting period waiver,20,₹10 Lac,"₹1,266/month","₹15,187 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold + PED waiting period waiver,20,₹10 Lac,"₹1,316/month","₹15,788 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond + PED waiting period waiver,20,₹10 Lac,"₹1,503/month","₹18,030 / Year",96 % claim settlement ratio
IFFCO Tokio,Individual Health Protector,12,₹10 Lac,"₹1,172/month","₹14,066 / Year",98.90 % claim settlement ratio
Digit Insurance,Double Wallet Plan,10,₹10 Lac,₹977/month,"₹11,729 / Year",96 % claim settlement ratio
Digit Insurance,Infinity Wallet Plan,10,₹10 Lac,"₹1,171/month","₹14,054 / Year",96 % claim settlement ratio
Digit Insurance,Worldwide Treatment plan,10,₹10 Lac,"₹1,269/month","₹15,233 / Year",96 % claim settlement ratio
Magma HDI,Secure with Bonus Booster and Zonewise Copay Waiver,16,₹10 Lac,₹873/month,"₹10,475 / Year",90 % claim settlement ratio
Care Health,Care Supreme Discounted + Wellness Benefit + Air Ambulance + NCB Super,15,₹15 Lac,₹998/month,"₹11,970 / Year",93 % claim settlement ratio
Care Health,Care Supreme Discounted (Quarterly) + Wellness Benefit + Air Ambulance + NCB Super,15,₹15 Lac,"₹1,028/month","₹3,084 for 3 months",93 % claim settlement ratio
Care Health,Care Advantage,15,₹25 Lac,₹926/month,"₹11,109 / Year",93 % claim settlement ratio
Care Health,Care with Care Shield,15,₹15 Lac,"₹1,812/month","₹21,745 / Year",93 % claim settlement ratio
Care Health,Care Advantage with NCB,15,₹25 Lac,"₹1,018/month","₹12,219 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Reduction In PED Waiting period,15,₹25 Lac,₹949/month,"₹11,386 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Global Coverage Inc US,15,₹25 Lac,"₹1,673/month","₹20,076 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Global Coverage Ex US,15,₹25 Lac,"₹1,483/month","₹17,801 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Reduction In PED Waiting period and Global coverage Inc US,15,₹25 Lac,"₹1,673/month","₹20,076 / Year",93 % claim settlement ratio
Star Health,Young Star Silver,16,₹15 Lac,₹990/month,"₹11,880 / Year",85.80 % claim settlement ratio
Star Health,Young Star Gold,16,₹15 Lac,"₹1,102/month","₹13,223 / Year",85.80 % claim settlement ratio
Star Health,Assure Insurance Policy,16,₹15 Lac,"₹1,167/month","₹14,008 / Year",85.80 % claim settlement ratio
Star Health,Comprehensive Individual,16,₹15 Lac,"₹1,404/month","₹16,845 / Year",85.80 % claim settlement ratio
Star Health,Mediclassic Individual Gold,16,₹15 Lac,"₹1,379/month","₹16,550 / Year",85.80 % claim settlement ratio
Star Health,Mediclassic Individual Silver,16,₹15 Lac,"₹1,289/month","₹15,468 / Year",85.80 % claim settlement ratio
Star Health,Comprehensive with PED Buy Back,16,₹15 Lac,"₹1,825/month","₹21,898 / Year",85.80 % claim settlement ratio
Star Health,Smart Health Pro,16,₹15 Lac,₹920/month,"₹11,043 / Year",85.80 % claim settlement ratio
Niva Bupa,Reassure 2.0 Platinum+ (Direct),16,₹15 Lac,"₹1,361/month","₹16,326 / Year",92 % claim settlement ratio
Niva Bupa,Health Companion,16,₹15 Lac,"₹1,112/month","₹13,348 / Year",92 % claim settlement ratio
Niva Bupa,Health Companion + Safeguard,16,₹15 Lac,"₹1,196/month","₹14,349 / Year",92 % claim settlement ratio
Niva Bupa,Health Premia Gold,16,₹15 Lac,"₹2,067/month","₹24,801 / Year",92 % claim settlement ratio
Aditya Birla,Activ One Max,14,₹15 Lac,₹986/month,"₹11,828 / Year",96 % claim settlement ratio
Aditya Birla,Active Health Platinum - Enhanced,14,₹15 Lac,"₹1,084/month","₹13,012 / Year",96 % claim settlement ratio
ICICI Lombard,Elevate + BeFit,12,₹15 Lac,"₹1,021/month","₹12,249 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With Befit,12,₹15 Lac,"₹1,289/month","₹15,469 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim Protector and Befit,12,₹15 Lac,"₹1,289/month","₹15,469 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim + SI Protector + Befit,12,₹15 Lac,"₹1,320/month","₹15,840 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With SI Protector and Befit,12,₹15 Lac,"₹1,320/month","₹15,840 / Year",99.80 % claim settlement ratio
Reliance,Health Gain Power,15,₹15 Lac,₹941/month,"₹11,286 / Year",99.90 % claim settlement ratio
Reliance,Health Gain Prime,15,₹25 Lac,"₹1,163/month","₹13,952 / Year",99.90 % claim settlement ratio
Reliance,Health Infinity With More Time,15,₹15 Lac,₹914/month,"₹10,972 / Year",99.90 % claim settlement ratio
Reliance,Health Infinity With More Global,15,₹15 Lac,₹914/month,"₹10,972 / Year",99.90 % claim settlement ratio
Reliance,Health Infinity With More Cover,15,₹15 Lac,₹914/month,"₹10,972 / Year",99.90 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,₹75 Lac,"₹2,106/month","₹25,277 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,₹75 Lac,"₹1,212/month","₹14,545 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,₹75 Lac,"₹1,229/month","₹14,747 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,₹75 Lac,"₹1,206/month","₹14,477 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,₹75 Lac,"₹2,090/month","₹25,075 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,₹75 Lac,"₹2,084/month","₹25,008 / Year",93.4 % claim settlement ratio
Cholamandalam MS,Flexi Health Supreme Plus,16,₹15 Lac,"₹1,292/month","₹15,498 / Year",94 % claim settlement ratio
Kotak Mahindra,Kotak Health Premier – Total,16,₹15 Lac,₹991/month,"₹11,887 / Year",97 % claim settlement ratio
Kotak Mahindra,Kotak Health Premier – Edge,16,₹15 Lac,"₹1,096/month","₹13,149 / Year",97 % claim settlement ratio
Kotak Mahindra,Kotak Health Premier – Elite,16,₹15 Lac,"₹1,234/month","₹14,810 / Year",97 % claim settlement ratio
New India Assurance,New India Mediclaim 2012,16,₹15 Lac,"₹1,559/month","₹18,702 / Year",98 % claim settlement ratio
Royal Sundaram,Lifeline Supreme,15,₹15 Lac,"₹1,104/month","₹13,247 / Year",92 % claim settlement ratio
Royal Sundaram,Lifeline Elite,15,₹25 Lac,"₹3,301/month","₹39,617 / Year",92 % claim settlement ratio
Zuno,Zuno Gold + Health 241,10,₹15 Lac,"₹1,696/month","₹20,354 / Year",95 % claim settlement ratio
Universal Sompo,A Plus Silver,20,₹15 Lac,"₹1,353/month","₹16,237 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold,20,₹15 Lac,"₹1,410/month","₹16,921 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond,20,₹15 Lac,"₹1,621/month","₹19,446 / Year",96 % claim settlement ratio
Universal Sompo,Complete HealthCare Insurance - Plus,20,₹15 Lac,"₹1,553/month","₹18,632 / Year",96 % claim settlement ratio
Universal Sompo,Complete HealthCare Insurance - Premier,20,₹25 Lac,"₹1,727/month","₹20,721 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Silver + Non medical items,20,₹15 Lac,"₹1,404/month","₹16,850 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold + Non medical items,20,₹15 Lac,"₹1,461/month","₹17,535 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond + Non medical items,20,₹15 Lac,"₹1,672/month","₹20,060 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Silver + PED waiting period waiver,20,₹15 Lac,"₹1,614/month","₹19,364 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold + PED waiting period waiver,20,₹15 Lac,"₹1,671/month","₹20,048 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond + PED waiting period waiver,20,₹15 Lac,"₹1,881/month","₹22,573 / Year",96 % claim settlement ratio
IFFCO Tokio,Individual Health Protector,12,₹15 Lac,"₹1,339/month","₹16,072 / Year",98.90 % claim settlement ratio
Digit Insurance,Double Wallet Plan,10,₹15 Lac,"₹1,059/month","₹12,707 / Year",96 % claim settlement ratio
Digit Insurance,Infinity Wallet Plan,10,₹15 Lac,"₹1,269/month","₹15,226 / Year",96 % claim settlement ratio
Digit Insurance,Worldwide Treatment plan,10,₹15 Lac,"₹1,450/month","₹17,403 / Year",96 % claim settlement ratio
Magma HDI,Secure with Bonus Booster and Zonewise Copay Waiver,16,₹15 Lac,"₹1,135/month","₹13,617 / Year",90 % claim settlement ratio
Care Health,Care Supreme Discounted + Wellness Benefit + Air Ambulance + NCB Super,15,₹25 Lac,"₹1,170/month","₹14,044 / Year",93 % claim settlement ratio
Care Health,Care Supreme Discounted (Quarterly) + Wellness Benefit + Air Ambulance + NCB Super,15,₹25 Lac,"₹1,206/month","₹3,618 for 3 months",93 % claim settlement ratio
Care Health,Care Advantage,15,₹25 Lac,₹926/month,"₹11,109 / Year",93 % claim settlement ratio
Care Health,Care with Care Shield,15,₹20 Lac,"₹1,872/month","₹22,461 / Year",93 % claim settlement ratio
Care Health,Care Advantage with NCB,15,₹25 Lac,"₹1,018/month","₹12,219 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Reduction In PED Waiting period,15,₹25 Lac,₹949/month,"₹11,386 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Global Coverage Inc US,15,₹25 Lac,"₹1,673/month","₹20,076 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Global Coverage Ex US,15,₹25 Lac,"₹1,483/month","₹17,801 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Reduction In PED Waiting period and Global coverage Inc US,15,₹25 Lac,"₹1,673/month","₹20,076 / Year",93 % claim settlement ratio
Star Health,Young Star Silver,16,₹20 Lac,"₹1,131/month","₹13,570 / Year",85.80 % claim settlement ratio
Star Health,Young Star Gold,16,₹20 Lac,"₹1,243/month","₹14,913 / Year",85.80 % claim settlement ratio
Star Health,Assure Insurance Policy,16,₹20 Lac,"₹1,306/month","₹15,676 / Year",85.80 % claim settlement ratio
Star Health,Comprehensive Individual,16,₹20 Lac,"₹1,588/month","₹19,057 / Year",85.80 % claim settlement ratio
Star Health,Mediclassic Individual Gold,16,₹20 Lac,"₹1,586/month","₹19,034 / Year",85.80 % claim settlement ratio
Star Health,Comprehensive with PED Buy Back,16,₹20 Lac,"₹2,065/month","₹24,774 / Year",85.80 % claim settlement ratio
Star Health,Smart Health Pro,16,₹20 Lac,"₹1,037/month","₹12,448 / Year",85.80 % claim settlement ratio
Niva Bupa,Reassure 2.0 Platinum+ (Direct),16,₹20 Lac,"₹1,458/month","₹17,490 / Year",92 % claim settlement ratio
Niva Bupa,Reassure 2.0 Titanium+ (Direct),16,₹20 Lac,"₹1,492/month","₹17,907 / Year",92 % claim settlement ratio
Niva Bupa,Reassure 2.0 Bronze+(Direct),16,₹20 Lac,"₹1,347/month","₹16,168 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Gold + (Direct),16,₹20 Lac,"₹1,030/month","₹12,359 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Diamond + (Direct),16,₹20 Lac,"₹1,177/month","₹14,126 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Platinum + (Direct),16,₹20 Lac,"₹1,328/month","₹15,941 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Titanium + (Direct),16,₹20 Lac,"₹1,336/month","₹16,037 / Year",92 % claim settlement ratio
Niva Bupa,Health Companion,16,₹20 Lac,"₹1,352/month","₹16,223 / Year",92 % claim settlement ratio
Niva Bupa,Health Companion + Safeguard,16,₹20 Lac,"₹1,585/month","₹19,024 / Year",92 % claim settlement ratio
Niva Bupa,Health Premia Gold,16,₹20 Lac,"₹2,189/month","₹26,270 / Year",92 % claim settlement ratio
Aditya Birla,Activ One Max,14,₹20 Lac,"₹1,051/month","₹12,616 / Year",96 % claim settlement ratio
Aditya Birla,Active Health Platinum - Enhanced,14,₹20 Lac,"₹1,140/month","₹13,685 / Year",96 % claim settlement ratio
ICICI Lombard,Elevate + BeFit,12,₹20 Lac,"₹1,129/month","₹13,546 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With Befit,12,₹20 Lac,"₹1,408/month","₹16,890 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim Protector and Befit,12,₹20 Lac,"₹1,408/month","₹16,890 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim + SI Protector + Befit,12,₹20 Lac,"₹1,438/month","₹17,261 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With SI Protector and Befit,12,₹20 Lac,"₹1,438/month","₹17,261 / Year",99.80 % claim settlement ratio
Reliance,Health Gain Power,15,₹20 Lac,"₹1,002/month","₹12,021 / Year",99.90 % claim settlement ratio
Reliance,Health Gain Prime,15,₹25 Lac,"₹1,163/month","₹13,952 / Year",99.90 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,₹75 Lac,"₹2,106/month","₹25,277 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,₹75 Lac,"₹1,212/month","₹14,545 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,₹75 Lac,"₹1,229/month","₹14,747 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,₹75 Lac,"₹1,206/month","₹14,477 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,₹75 Lac,"₹2,090/month","₹25,075 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,₹75 Lac,"₹2,084/month","₹25,008 / Year",93.4 % claim settlement ratio
Cholamandalam MS,Flexi Health Supreme Plus,16,₹20 Lac,"₹1,435/month","₹17,220 / Year",94 % claim settlement ratio
Kotak Mahindra,Kotak Health Premier – Total,16,₹20 Lac,"₹1,045/month","₹12,543 / Year",97 % claim settlement ratio
Kotak Mahindra,Kotak Health Premier – Edge,16,₹20 Lac,"₹1,151/month","₹13,807 / Year",97 % claim settlement ratio
Kotak Mahindra,Kotak Health Premier – Elite,16,₹20 Lac,"₹1,293/month","₹15,512 / Year",97 % claim settlement ratio
Royal Sundaram,Lifeline Supreme,15,₹20 Lac,"₹1,165/month","₹13,983 / Year",92 % claim settlement ratio
Royal Sundaram,Lifeline Elite,15,₹25 Lac,"₹3,301/month","₹39,617 / Year",92 % claim settlement ratio
Zuno,Zuno Gold + Health 241,10,₹20 Lac,"₹1,850/month","₹22,197 / Year",95 % claim settlement ratio
Universal Sompo,A Plus Silver,20,₹20 Lac,"₹1,499/month","₹17,983 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold,20,₹20 Lac,"₹1,556/month","₹18,668 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond,20,₹20 Lac,"₹1,592/month","₹19,104 / Year",96 % claim settlement ratio
Universal Sompo,Complete HealthCare Insurance - Plus,20,₹20 Lac,"₹1,610/month","₹19,317 / Year",96 % claim settlement ratio
Universal Sompo,Complete HealthCare Insurance - Premier,20,₹25 Lac,"₹1,727/month","₹20,721 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Silver + Non medical items,20,₹20 Lac,"₹1,553/month","₹18,632 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold + Non medical items,20,₹20 Lac,"₹1,610/month","₹19,317 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond + Non medical items,20,₹20 Lac,"₹1,823/month","₹21,877 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Silver + PED waiting period waiver,20,₹20 Lac,"₹1,769/month","₹21,228 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold + PED waiting period waiver,20,₹20 Lac,"₹1,826/month","₹21,913 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond + PED waiting period waiver,20,₹20 Lac,"₹2,039/month","₹24,473 / Year",96 % claim settlement ratio
IFFCO Tokio,Individual Health Protector,12,₹20 Lac,"₹1,530/month","₹18,365 / Year",98.90 % claim settlement ratio
Digit Insurance,Double Wallet Plan,10,₹20 Lac,"₹1,124/month","₹13,487 / Year",96 % claim settlement ratio
Digit Insurance,Infinity Wallet Plan,10,₹20 Lac,"₹1,347/month","₹16,162 / Year",96 % claim settlement ratio
Digit Insurance,Worldwide Treatment plan,10,₹20 Lac,"₹1,606/month","₹19,271 / Year",96 % claim settlement ratio
Magma HDI,Secure with Bonus Booster and Zonewise Copay Waiver,16,₹20 Lac,"₹1,178/month","₹14,140 / Year",90 % claim settlement ratio
Care Health,Care Supreme Discounted + Wellness Benefit + Air Ambulance + NCB Super,15,₹25 Lac,"₹1,170/month","₹14,044 / Year",93 % claim settlement ratio
Care Health,Care Supreme Discounted (Quarterly) + Wellness Benefit + Air Ambulance + NCB Super,15,₹25 Lac,"₹1,206/month","₹3,618 for 3 months",93 % claim settlement ratio
Care Health,Care Advantage,15,₹25 Lac,₹926/month,"₹11,109 / Year",93 % claim settlement ratio
Care Health,Care with Care Shield,15,₹25 Lac,"₹2,134/month","₹25,604 / Year",93 % claim settlement ratio
Care Health,Care Advantage with NCB,15,₹25 Lac,"₹1,018/month","₹12,219 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Reduction In PED Waiting period,15,₹25 Lac,₹949/month,"₹11,386 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Global Coverage Inc US,15,₹25 Lac,"₹1,673/month","₹20,076 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Global Coverage Ex US,15,₹25 Lac,"₹1,483/month","₹17,801 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Reduction In PED Waiting period and Global coverage Inc US,15,₹25 Lac,"₹1,673/month","₹20,076 / Year",93 % claim settlement ratio
Star Health,Young Star Silver,16,₹25 Lac,"₹1,293/month","₹15,512 / Year",85.80 % claim settlement ratio
Star Health,Young Star Gold,16,₹25 Lac,"₹1,405/month","₹16,855 / Year",85.80 % claim settlement ratio
Star Health,Assure Insurance Policy,16,₹25 Lac,"₹1,442/month","₹17,300 / Year",85.80 % claim settlement ratio
Star Health,Comprehensive Individual,16,₹25 Lac,"₹1,732/month","₹20,786 / Year",85.80 % claim settlement ratio
Star Health,Mediclassic Individual Gold,16,₹25 Lac,"₹1,776/month","₹21,317 / Year",85.80 % claim settlement ratio
Star Health,Comprehensive with PED Buy Back,16,₹25 Lac,"₹2,252/month","₹27,022 / Year",85.80 % claim settlement ratio
Star Health,Smart Health Pro,16,₹25 Lac,"₹1,134/month","₹13,606 / Year",85.80 % claim settlement ratio
Niva Bupa,Reassure 2.0 Platinum+ (Direct),16,₹25 Lac,"₹1,517/month","₹18,208 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Gold + (Direct),16,₹25 Lac,"₹1,102/month","₹13,227 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Diamond + (Direct),16,₹25 Lac,"₹1,256/month","₹15,071 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Platinum + (Direct),16,₹25 Lac,"₹1,410/month","₹16,915 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Titanium + (Direct),16,₹25 Lac,"₹1,418/month","₹17,018 / Year",92 % claim settlement ratio
Niva Bupa,Health Companion,16,₹30 Lac,"₹1,699/month","₹20,383 / Year",92 % claim settlement ratio
Niva Bupa,Health Companion + Safeguard,16,₹30 Lac,"₹1,522/month","₹18,261 / Year",92 % claim settlement ratio
Niva Bupa,Health Premia Gold,16,₹30 Lac,"₹2,261/month","₹27,135 / Year",92 % claim settlement ratio
Aditya Birla,Activ One Max,14,₹25 Lac,"₹1,095/month","₹13,141 / Year",96 % claim settlement ratio
Aditya Birla,Active Health Platinum - Enhanced,14,₹25 Lac,"₹1,191/month","₹14,289 / Year",96 % claim settlement ratio
ICICI Lombard,Elevate + BeFit,12,₹25 Lac,"₹1,183/month","₹14,195 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With Befit,12,₹25 Lac,"₹1,730/month","₹20,757 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim Protector and Befit,12,₹25 Lac,"₹1,730/month","₹20,757 / Year",99.80 % claim settlement ratio
